Hotel Name,Hotel Address,Hotel Rating,Author,Review Rating,Review Title,Review Description,type,Date,Response
,,,Indradeep R,4.0,Mesmerizing view in the best hotel in Surat,"I stayed in the hotel for 2 nights and can surely say that its best place to stay in Surat. Let me first list out things which I liked. The health club was neat, clean and tidy and the instructor was quite knowledgeable and informed. Enjoyed my workout thoroughly. The hotel also provided a complimentary Jacuzzi, however could not utilise due to time constraint, however was happy with the offer. Anything free is welcome !  The rooms are pretty decent in size and the view of the river from the room is just priceless. It was a great feeling to wake up each morning and see the serene view from the hotel windows. The sleep quality was good and I thank the hotel for it. The breakfast was good, but I thought the spread can be better and the menu should change. On both the days I found…",,December 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with Tajjudin our Gym Instructor. Also I have taken note of your feedback regarding breakfast spread & WiFi.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,GAURANG G,5.0,THE BEST HOTEL TO STAY IN SURAT,"Hi,    I stayed at the GATEWAY HOTEL athwalines surat from 27th to 30th November  Its an excellent property to stay the staff is very coperative Room service is excellent The general Manager Mr. Amit Mehta was very coperative & Mr.Amit Thakur as well",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with Amit Thakur.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Naaz N,3.0,Below expectations and not worth the money,"Positive points: Cozy bed, big room (we booked a suite), nice view of the river.  Negative points: Staff knocked for silly reason like laundry.  Breakfast was grand but hardly few things tasted good. We had honeymoon cake in the room but there was nothing to cover it...so was left uncovered all night and was all wasted.  I called the hotel for the copy of the bill because I misplaced it and they transferred my call to three people before I could finally speak to the right person. He gave me incomplete hotel email id. I had to call again for it. When I received the bill in my email, the cashier's and customer's sign were both missing. I emailed them again and when I received the bill I noticed that they wrote wrong nationality of my husband even though they took his passport copy…",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!   Thank you for sparing time and posting your review of our hotel on Trip Advisor.   Please accept our apologies for the various issues that weren't up to the standards you expected. We have noted all the points that you have raised and be assured that we will take this up with the concerned people.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,vkumar0070,4.0,Best Hotel Experience in Surat,"I have been travelling to Surat often and find the gateway as the best business hotel on the banks of the river with a great view in the riverside rooms. Fully functional restaurants, Business centre and a nice lobby make this hotel the Hub of travelers in Surat. Great service as expected of a Taj Hotel but Veg Food enthusiasts would not find the food very experience very rewarding.",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. Also I have taken a note of  your feedback regarding the vegetarian food.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Fareed Suliman Dindar,4.0,Amazing Hospitality,"On my arrival at the hotel we were immediately upgraded from standard rooms to a higher category at no additional cost. The reason for upgrade, simply because the hotel was not fully booked and better rooms were available. I was blown away. A nice touch was when requesting a taxi / tuk tuk the concierge hands you a card to evaluate the transport. A negative report results in no repeat business for the operator. A confidence booster in using  taxi / tuk tuk.  The hotel is conveniently located and close to the  main road, malls and airport.  Will definately qualify for repeat visit.",,December 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,amarbedi,5.0,Excellence pure !!!,"All I can say about this place is that it is deservedly the BEST hotel in the city. I would go ahead and recommend this place as having the best service anywhere in India. The staff is so very nice, gentle, attentive, caring and professional. Absolutely fantastic. The very moment you arrive till you depart, you can be sure of one of the finest service standards anywhere. Keep it up, dear team....!!!!!!!!!!",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,taszul,4.0,holiday,one of the best hotel to stay for any status of person. service is exceptional. rooms very comfortable. breakfast has a vied variety. very tasty. anything special on order can be arranged with very minimum charges. it has relaxing reception area.,,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,drAnandbherwani,4.0,Ver nice,"Very Good Hotel, Away from the noise of the city. Close to the river front. Very nicely renovated. River view rooms are beautiful  Staff is very friendly and helpful. Food preparation is Yummmm. But the room service spoils the image.. Need to call multiple times and no one answers.. Thirsty and no drinking water.. Call for toiletries no reply.. Had to walk out in my banyan to get them from the housekeeping. No worries I can overlook those due to other positive aspects. Divya Grover : chef Amit- manager Very helpful and nice. Do meet them for any help.",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with Chef Divya & Amit Thakur. Also I have taken a serious note of your feedback regarding room service & replenishment of amenities by houskeeping thereby taking  corrective action for the future.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,MM5000,5.0,Best hotel in Surat - possibly the only one worth considering.,"This hotel is probably the only nice hotel in Surat from what I have discovered, so it's the default choice. The hotel is part of the Gateway chain which is part of the Taj Group so you can be sure that the hotel is of a good standard, although slightly less plush than a Taj-branded hotel. I made my booking directly, the process was effortless and prior email communication with the hotel was a pleasure. The rooms are very well appointed and fairly spacious. The river-view room I stayed in had a nice peaceful view and seemed to have been refurbished not too long ago as it was quite modern. I'm not sure of the hotel star rating, and this may not measure up to a 5-star rating of a hotel in a major city, but the room was very comfortable and the staff were absolutely brilliant and…",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you and family enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with Asraf Ali & Divya. Also I have taken note of your feedback and would like to inform you that we at the Taj Group have started providing free Wifi from November 15, 2014.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,kumud j c barot M,5.0,BEST IN SURAT,"I and my husband Mr Kedia stayed in this hotel for 4 days.It's really very comfortable hotel in the city.The breakfast was very good, with unlimited choise.The room was clean and river view was very pleasing.Staff is very helping and courteous .",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you and family enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,hejammy,2.0,Mixed Opinion,"Positives: The facilities are of a high standard and the rooms are very comfortable and large enough. The breakfast was good, not amazing and not as good as other 5* hotels in other cities like Mumbai, however was good enough.   Negatives: On the last day a cleaner walked into our room after ringing once and opening the door straight away and walked into the bathroom where my wife was. He did not even ask if he could come into the room, the key was in the slot suggesting that someone was in the room. Obviously my wife was disgusted and completely embarrassed. This occurrence left a bitter taste in our mouth. We went to check out that same morning and after making us wait more than 1h30mins they asked me what I would like to be done and I just replied that whatever they thought…",,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!   Thank you for sparing time and posting your review of our hotel on Trip Advisor.   This is a small note to once again assure you that I have taken a serious note of your feedback. As discussed during your stay our cleaning associate did follow the correct procedure of ringing the bell, waited for 15 seconds then rang the bell again and waited another 20 seconds before opening the room as the room was not on Do Not Disturb for daily cleaning of the room as was being done during the last 9 days of your stay. Once again please do accept my apology for the inconvinience caused which was totally unintentional and marred an otherwise pleasant stay.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Idris K,4.0,Nice room and friendly staff,Stayed here for 10 days and the staff were very friendly and accommodating.  The room was clean and modern looking.  One problem was not enough drawer space for clothes.  The hotel is a little out of the way from activities,,November 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. We have also made note of your comments with regards to the drawer space for clothes, please be assured that we will keep your suggestion in mind and will put to good use.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,sparzsh,5.0,Best in Surat...No regrets,"The gateway ensures your comfortable stay in this city. People only need time to enjoy this hotel offers. The best Gujrati snack platter I have ever had. From check in to check out, everything is smooth and staff assists you in the best possible manner they can.  Breakfast was the only unpleasing constraint in my stay.But still this best.",,August 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. Also I have taken note of your feedback regarding the  breakfast experience and would request if you could share further details of the same on my email id  amit.mehta@tajhotels.com.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Shafi,4.0,hotel,hotel in located in the heart of the city....very good hotel for business traveler. front desk services and guest services are very good. this may be the best hotel in Surat city. the hotel face the river and this makes is awesome.,,July 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,rupesh601,5.0,Enjoyed diwali at gateway surat,"At the time of checkin we got very warm welcome from reception.The room is very spacious net n clean having all modern aminities.room services is excellent.we enjoyed mouthwatering indian,continiental,chines food at restaurant.thanks to chef prahld singh rajput for serving gujrati thali having flavours of India.we enjoyed helthclub n swimming pool facilities at hotel. Thanks to Gm Mr.AMIT MEHTA for top team work & personal guidence by him.i m very much happy to visit again n again because of this reasons.",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates esp. with Chef Prahlad..   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,hcmodi,5.0,Only Best Choice in Surat,"As usually I always like to stay in Taj Gateway properties due to its best location, best services and affordable prices. Last year I stayed at Madurai and it was definitely one of the best Gateway property and this time i was not at all disappointed with Surat Gateway property. I stayed at some higher floor and Rooms were very spacious and comfortable. From outside the building is not so impressive but when you enter the property everything is ok. They have very nice garden and for morning walking it is marvelous. Restaurant are good and they are recommended to try in comparison of other Surat Restaurant.",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Howie,3.0,Overall Average Stay,"Overall average stay.  Rooms are very musty smelling and I'd imagine the entire hotel would smell this way if not for the fragrances melting in the hallway and entrance.  Room was missing washcloths in the bathroom - perhaps not a common amenity in India.  Bathroom amenities were not replenished for second night of the stay.  Check in was fine except for the individual I imagine to be the manager trying to sell me on services at the spa because he deemed me to be looking ""tired"".  Pigeons abound above your head at the entrance making it a journey to avoid them making waste on your clothing.  Spice restaurant was very good.  However sever insisted on arguing with us on the type of food we desired.  Overall ambiance in restaurant is dark.",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!   Thank you for sparing time and posting your review of our hotel on Trip Advisor.   This is a small note to assure you that I have taken a serious note of your feedback pertaining to the bathroom amenities, feedback on interaction during check in / Spice restaurant  and pigeons at the entrance. I have personally shared your feedback with all our associates and corrective action taken.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Jbramlett,5.0,Nice Hotel but excellent staff that goes out of their way to please. ,This was my second time to stay here and I was more impressed this time. The rooms are nice but the staff is what you would expect from a Taj brand. One thing to take note is that Gujarat is a dry state. Pick up some necessary items in duty free when you land in Mumbai before you head this way. ,,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Normal for Norfolk,4.0,3rd stay at Taj,"This is my 3rd stay here and 1st for more than 1 night, not the best Taj I've stayed at but pretty good. The Spice restaurant excels.  Rooms very comfortable, wifi ok but restrictive to 2 devices even on chargeable basis tarrif. Whole A/C system appears to need overhaul as humidity is high and results in musty odours. No complaints I'll use the hotel again next time in Surat for sure. ",,October 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!   Thank you for sparing time and posting your review of our hotel on Trip Advisor.   This is a small note to assure you that I have taken note of your feedback pertaining to the A/C system and wifi in the hotel. Also I have personally shared your positive feedback with all our associates especially with the Spice team.  It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,HMahadev,4.0,wonderful hotel,"This hotel is slightly difficult to locate, but the hotel, rooms, staff, services are all very good. The breakfast is also fine. The quality of room is very good and size is larger than most of the hotels. A decent view of Tapi river from the room adds to the value of the stay...",,December 2013,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.    It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Mark N,4.0,Clean quiet sanctuary,I stayed at the Gateway on a business trip and was pleasantly surprised by the friendly efficient staff and check-in.    The room was spotless and the bathroom looked new and well maintained and stocked.  The bed was very comfortable and the pillows were perfect.  The air conditioning worked well and I experienced no sore throat as is the case in many hotels that do not maintain their air conditioning systems correctly. Room service was excellent and the food arrived within the 30 minutes stated by the kitchen.    Although the buffet dinner was very busy at times the staff coped very well and dishes were cleared promptly - the food was ecxellent.  The garden was well maintained and it was a pleasure to watch the squirrels playing on the lawn during breakfast.  The Spice…,,September 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. Also I have taken note of your feedback regarding the Spice restaurant and the internet charges.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,gauravlal80,4.0,1 Night Business Travelers Review,"I arrived at the hotel at 9 in the night after a tiring road journey. Gateway offers Bench marking levels of service. Check in was smooth and quick and the lobby was well lit and buzzing with people.  The Room : Excellent quality of room. Size is much larger than most hotels of a similar class. Part flooring was classic wooden and I really love that part. View was also very nice. I have only praises for room quality and even a critic like me can't find too many faults.  The Service : This was a mixed bag. While in the room, one of the washroom lights started flickering. I called a gentleman to check. Within 5 minutes someone was checking and replacing. They felt sorry that I had to go through this small inconvenience. I also ordered for some Murg lababdar and naan. The room…",,September 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. Also I have taken note of your feedback regarding the room service clearence and the bathroom light.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Sanjay V,3.0,Below par for a Taj Group Hotel,"Located in a quiet area of Surat. Quick and courteous check-in. My room was on 6th floor, had a good view over the city skyline. However, the door was not very sound proof; I got disturbed a few times by people talking in the hallway. The decor of the room was very bland, furniture mundane. Water spilled all over the bathroom after a shower (shower door was not shutting properly). The whole power socket came out when I was trying to unplug the iron. I informed the gentleman at reception who promised to get it fixed immediately. Internet was paid (not included in the room tariff)--in 2014 it is not acceptable in a business hotel. This was my first visit to Surat. I'll be trying some other hotel for my next visit in Oct.",,September 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I regret to note about the inconvenience caused to you during your visit to our hotel and please accept my sincere apology for the same. We at The Gateway Hotel, Surat are very particular about guest satisfaction and this is to assure you that corrective action has been taken based on your feedback.I would also like to thank you for the positive feedback which I have shared with my team.    It is feedback from esteemed guests like you that helps us to constantly introspect our systems,  procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and would request you to give us another opportunity during your next visit to Surat in October.  You can write to me on my email id amit.mehta@tajhotels.com and I would be pleased to assist you with your booking.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,TapanKalsariya,4.0,Best of the best of Surat,"It could be say jewel of Surat as there are no such luxury hotels in the city of jewel. A great ambiance makes charm. The rooms are cozy and interior is wonderful. Hotel also serves international class food in their Lounge, Cafe and Restaurant.  Only disappointed with the room service because they have not provided basic kit in the room and thats why I am rating Sevice as average in my review. I specially want to aware hotel management that such type of silly malpractice is not allowable in such international class hotel of Taj group.  All of this I specially recommend only this hotel in Surat to stay if you really want exactr 5* experience.",,May 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates. Also I have taken note of your constructive feedback regarding the room service amenities in the room.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Divyakaran,5.0,Taj is Just Taj,"I stayed at this hotel on my recent visit for business to Surat for 3 nights. Like always with Taj it was outstanding and very comfortable. The rooms were clean. Although on the first day there was some weird smell in the water from shower but it got sorted out by itself. The breakfast spread was good and the staff was always ready to go out of there way to help you and make you comfortable. Special thanks to Mr. Pandey (Chef) who personally took the pains to come to my room and ask me what i wanted to eat (haven't seen that happen too often). The spa, gym and swimming pool are also well equipped with equipment and staff.  All in all i would definitely come back and highly recommend this hotel.",,August 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with Chef Ashutosh Pandey.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Ramachandran R V,5.0,The Taj Experience in Surat,"A beautiful property with wonderful rooms and a great coffee shop. The rooms are very spacious and lavish. The coffee shop provides an elaborate spread of great cuisine and you can dip into any of the spread with atmost delight. The conferencing venue is good, spacious and the pre function area just good for a lavish buffet. The staff ensure you get the signature TAJ Experience. Overall a great place to stay.",,August 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Yatin P,5.0,Taj is Taj,In the heart of Surat my stay at Taj Surat was wonderful and very relaxing. A grand welcome with upgradation to river facing rooms added to the joy and at very reasonable prices. A sure choice for the next trip.       ,,September 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Saurabh Gupta,4.0,Business Visit,"A newly constructed hotel with nice spacious rooms, its located near the River Vapi (?) which adds to its beauty. Food is excellent and one should definitely try local Indian cuisines. I thought its overpriced but looking at the location, food quality and ambiance its value for money.",,September 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates especailly with the kitchen team.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.com"
,,,Ravz24,5.0,Fabulous Stay and Excellent Service,"A room that strikes you as lovely as soon as you walk in with consistent design, high-quality furnishings, and no cheap touches, no odors, such as old smoke or aggressive room freshener. Staff are very friendly and always available and ready to assist. All staff are able to communicate in English. Downside: Meals were expensive.The breakfast was divine and a huge spread. Dinner we usually had take outs. There were a few complimentary vouchers given to us eg. spa vouchers. Overall our stay was excellent and we had no complaints.",,January 2014,"Dear Guest,  Greetings from The Gateway Hotel, Surat!  Thank you for sparing time and posting your detailed review of our hotel on Trip Advisor.  I am delighted to note that overall you and your family enjoyed your visit to our hotel and the services rendered by my team were to your satisfaction. I have personally shared your feedback with all our associates.   It is feedback from esteemed guests like you that helps us to constantly introspect our systems and procedures and assists us in striving for a better product and service.  We thank you once again for your feedback and look forward to welcoming you back to The Gateway Hotel, Surat.  Warm regards Amit Mehta General Manager The Gateway Hotel, Athwalines Surat Email: amit.mehta@tajhotels.co"
